Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index
OH,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",9,279,77.58154162413332,39.620171291570365
OK,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",128,12968,232.9910540381028,103.13274260967268
OK,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",15,1039,247.44862554645002,85.76324170309667
OK,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",9,482,306.05278590722224,87.56142065635802
OK,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1,35,25.611538462,60.611538462
OK,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,12,25.57,37.57
OR,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",127,7821,255.90611021599636,63.59768590721257
OR,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,27,88.149655172,115.149655172
OR,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",12,564,367.9866706361154,77.66555588634294
OR,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",1,263,174.95935211942856,437.95935211942856
OR,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1,71,112.87511628,183.87511628
PA,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",378,19957,218.2199105357844,53.37359764692006
PA,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",10,851,150.959682478,100.1959682478
PA,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",26,1172,115.40212035993181,49.51546616768969
PA,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",3,501,289.59655895592306,263.532186318641
PA,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",1,19,26.102,45.102000000000004
PA,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1,29,46.6628450845,75.66284508449999
PA,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",3,130,180.33675651714287,103.44558550571429
PR,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6,745,247.07690120214284,165.34615020035713
RI,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",25,1311,238.9460682198889,61.99784272879556
SC,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",174,15426,241.0730336765251,90.0406496188306
SC,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",14,1128,125.47622095525,89.53401578251786
SC,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",18,1248,193.26136898756758,80.07007605486486
SC,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",3,65,94.441971945,53.147323981666666
SC,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",3,343,268.93411765875,203.97803921958334
SC,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",2,208,282.790133825,245.3950669125
SD,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",30,2298,138.4993061332405,81.21664353777469
SD,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",15,400,145.4693377850625,36.364622519004165
TN,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",193,15283,240.94240532308504,80.43493474260666
TN,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,19,595.90229167,614.90229167
TN,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",24,1886,204.46351913915254,87.10264663079802
TN,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,16,89.855135135,105.855135135
TN,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",6,768,258.5911591527391,171.09852652545655
TN,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1,56,373.67652777499995,429.67652777499995
TX,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",772,55806,250.9308895208586,72.6126047791721
TX,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",32,2410,262.7392866731154,83.52310270853485
TX,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",51,3718,232.99371594442255,77.47046501851808
TX,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",39,2918,266.723151369,81.65956798382051
TX,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",11,643,288.7407385254643,84.70370350231494
TX,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",5,823,262.89953860075,217.17990772015
TX,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",1,12,111.46,123.46
UT,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",110,9705,243.13108880450855,90.43755535276826
UT,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",3,252,293.12990855818185,181.70996951939392
UT,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",2,29,26.436470588,27.718235294
UT,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",5,314,197.01768743157143,102.20353748631427
VA,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",252,20603,239.55857078194785,82.70856575707123
VA,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",4,641,282.5974875404286,230.89937188510714
VA,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5,268,189.8056161866,91.56112323732
VA,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",15,1299,220.04726790045456,101.2698178600303
VA,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",2,86,209.90874259499998,147.9543712975
VT,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",14,838,167.7346711746667,71.83819079819048
VT,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,27,26.05,53.05
VT,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",4,143,107.467158958,62.6167897395
VT,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,76,436.73648844,512.73648844
VT,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1,17,22.161176471,39.161176471000005
VT,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",3,133,59.47307154033333,64.15769051344445
WA,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",221,12195,218.87908979334242,56.17139859634997
WA,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",4,77,71.43404605275,37.1085115131875
WA,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",6,291,217.18997368299998,84.69832894716666
WI,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",237,10427,164.6289097147007,44.69041734056835
WI,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,17,646.57769231,663.57769231
WI,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",20,1073,183.9736921312564,62.84868460656283
WI,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",2,46,87.60363636333334,66.80181818166668
WI,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",10,528,241.05924426404346,76.90592442640434
WI,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",3,123,231.1273475286,118.04244917620001
WV,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",36,2785,137.34172046066263,81.17615890168507
WV,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5,592,104.40944600108332,139.28188920021665
WY,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7,432,241.0617023023077,96.15167175747253
WY,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",9,272,210.2099436177143,53.57888262419048
WY,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,37,26.410487805,63.410487805
WY,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",5,121,306.0565878605,85.41131757209999
