Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc_Urban,Total_Beneficiaries_Urban,Unique_Providers_Urban,Provider_Density_Urban,Urban_Rural_Urban,Rndrng_Prvdr_RUCA_Desc_Rural,Total_Beneficiaries_Rural,Unique_Providers_Rural,Provider_Density_Rural,Urban_Rural_Rural,Gap_Ratio,Urban_Patients,Rural_Patients,Urban_Providers,Rural_Providers,Urban_Patients_per_Provider,Rural_Patients_per_Provider
CT,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",36,1,0.027777777777777776,Urban,0,0.0,0.0,0.0,0,inf,36,0.0,1,0.0,36.0,inf
DC,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",414,11,0.026570048309178744,Urban,0,0.0,0.0,0.0,0,inf,414,0.0,11,0.0,37.63636363636363,inf
DC,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",232,5,0.021551724137931036,Urban,0,0.0,0.0,0.0,0,inf,232,0.0,5,0.0,46.4,inf
DE,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1728,19,0.01099537037037037,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",199.0,2.0,0.010050251256281407,Rural,1.0940393518518519,1728,199.0,19,2.0,90.94736842105263,99.5
DE,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1728,19,0.01099537037037037,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",163.0,1.0,0.006134969325153374,Rural,1.7922453703703705,1728,163.0,19,1.0,90.94736842105263,163.0
DE,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2378,22,0.009251471825063078,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",17.0,1.0,0.058823529411764705,Rural,0.15727502102607233,2378,17.0,22,1.0,108.0909090909091,17.0
DE,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2378,22,0.009251471825063078,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",32.0,1.0,0.03125,Rural,0.2960470984020185,2378,32.0,22,1.0,108.0909090909091,32.0
DE,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",224,2,0.008928571428571428,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",17.0,1.0,0.058823529411764705,Rural,0.15178571428571427,224,17.0,2,1.0,112.0,17.0
DE,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",224,2,0.008928571428571428,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",32.0,1.0,0.03125,Rural,0.2857142857142857,224,32.0,2,1.0,112.0,32.0
FL,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",36403,382,0.01049364063401368,Urban,0,0.0,0.0,0.0,0,inf,36403,0.0,382,0.0,95.29581151832461,inf
