Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index
07020,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,19,169.37582822,188.37582822
07024,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,49,873.479332015,922.479332015
07030,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,26,135.315,161.315
07036,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,11,879.5825,890.5825
07039,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,108,202.52927601,310.52927601
07041,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,85,431.517876375,258.2589381875
07047,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,15,176.76705882,191.76705882
07052,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,62,822.510265425,884.510265425
07054,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5,321,291.3681238416923,122.47362476833845
07069,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,109,166.426926624,137.713463312
07070,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,44,455.496929825,249.7484649125
07083,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,84,369.3145825518333,226.65729127591666
07093,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,76,313.47458615,389.47458615
07103,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,59,313.4961878475,124.16539594916667
07109,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,88,488.384594595,288.1922972975
07110,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,34,135.85141361,169.85141361
07202,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,12,132.07586207,144.07586207
07302,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,11,29.465,40.465
07306,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,13,924.93222222,937.93222222
07405,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,53,148.33647157200002,201.33647157200002
07410,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,155,303.738287036625,229.3691435183125
07417,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,42,135.75,88.875
07424,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,30,924.98155556,954.98155556
07432,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,172,135.75261394,153.87630697
07446,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,30,925.01244444,955.01244444
07450,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,15,29.305333333,44.305333333
07470,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,88,404.85666666666674,164.2855555555556
07503,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,99,29.26,64.13
07601,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5,316,288.50213294210005,120.90042658842
07607,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,97,450.507960415,273.75398020750004
07630,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,30,222.85346154,252.85346154
07631,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,91,374.97093190133336,232.98546595066668
07632,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,70,138.28494358666669,208.28494358666669
07645,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,27,799.7943333349999,413.39716666749996
07649,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,79,202.20640193833333,281.20640193833333
07652,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4,119,158.3014311272,69.3253577818
07663,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,12,830.31,842.31
07666,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,23,895.03862069,918.03862069
07701,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",10,518,155.2776910453684,67.32776910453684
07702,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,298,467.4324063593636,255.14413545312118
07712,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,15,129.49,144.49
07719,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,930,319.2484055869,416.41613519563333
07724,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4,137,269.6618809525,101.665470238125
07726,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,65,713.7418009749999,778.7418009749999
07728,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4,240,486.95300432666664,181.73825108166665
